tier_name,tier_idx,task,start,end,text,valid,interval_idx
speaker_1-kaldi-words,1,picture_task_1,87.24,130.47,Me it maybe <unk>.,1.0,2.0
speaker_1-kaldi-words,1,picture_task_2,132.11,151.47,Can you tell me or we could just tell me about the first year i think there was a picture to tell me what happened to me.,1.0,4.0
speaker_1-kaldi-words,1,picture_task_3,,,,0.0,
speaker_1-kaldi-words,1,picture_task_4,,,,0.0,
speaker_1-kaldi-words,1,picture_task_5,,,,0.0,
speaker_1-kaldi-words,1,picture_task_6,,,,0.0,
speaker_1-kaldi-words,1,picture_task_7,,,,0.0,
speaker_1-kaldi-words,1,picture_task_8,,,,0.0,
speaker_1-kaldi-words,1,picture_task_9,,,,0.0,
speaker_1-kaldi-words,1,picture_task_10,,,,0.0,
speaker_1-kaldi-words,1,picture_task_11,206.31,206.62,Notes.,1.0,6.0
speaker_1-kaldi-words,1,picture_task_12,,,,0.0,
speaker_1-kaldi-words,1,picture_task_13,211.8,212.61,Really quickly.,1.0,8.0
speaker_0-kaldi-words,2,picture_task_1,78.26,78.61,Eight.,1.0,2.0
speaker_0-kaldi-words,2,picture_task_2,152.47,163.05,The little boy was run on a skateboard drink drinking he's bottle and then he crashed into the eye and was like what's this and then the extra attaching.,1.0,4.0
speaker_0-kaldi-words,2,picture_task_3,164.85,173.81,So the made noise and use him his didn't understand and then i started hatching and.,1.0,6.0
speaker_0-kaldi-words,2,picture_task_4,175.78,179.81,Afterwards you gotta be like when it was hatching and then.,1.0,8.0
speaker_0-kaldi-words,2,picture_task_5,180.53,185.39,Came out and it's also wanted to be the friend but the boy was a bit scared and didn't know.,1.0,10.0
speaker_0-kaldi-words,2,picture_task_6,185.51,189.38,To think so we ran away and he behind a tree.,1.0,12.0
speaker_0-kaldi-words,2,picture_task_7,191.86,195.61,And the so little sad because he couldn't find his friend.,1.0,14.0
speaker_0-kaldi-words,2,picture_task_8,196.74,199.06,And then the boy came out and was.,1.0,16.0
speaker_0-kaldi-words,2,picture_task_9,199.2,201.06,Let's be friends gave the dinosaurs well.,1.0,18.0
speaker_0-kaldi-words,2,picture_task_10,,,,0.0,
speaker_0-kaldi-words,2,picture_task_11,207.3,207.75,That said.,1.0,20.0
speaker_0-kaldi-words,2,picture_task_12,,,,0.0,
speaker_0-kaldi-words,2,picture_task_13,,,,0.0,
