tier_name,tier_idx,task,start,end,text,valid,interval_idx
speaker_0-kaldi-words,1,picture_task_1,57.15,61.95,Arrive very good so now i want you to tell me what happens in each picture.,1,2
speaker_0-kaldi-words,1,picture_task_2,64.12,68.87,The boy touch the egg skateboard.,1,4
speaker_0-kaldi-words,1,picture_task_3,71.51,72.86,The boy hugs the egg.,1,6
speaker_0-kaldi-words,1,picture_task_4,76.52,81.81,The boy hug the egg can you tell me they are correct.,1,8
speaker_0-kaldi-words,1,picture_task_5,84.44,85.67,Joins who came down.,1,10
speaker_0-kaldi-words,1,picture_task_6,88.37,90.53,The dinosaur was linking the boy.,1,12
speaker_0-kaldi-words,1,picture_task_7,93.58,94.91,The family was hiding.,1,14
speaker_0-kaldi-words,1,picture_task_8,97.09,98.44,The doors were upset.,1,16
speaker_0-kaldi-words,1,picture_task_9,100.53,101.85,The was crying.,1,18
speaker_0-kaldi-words,1,picture_task_10,104.1,105.72,The boy was laughing.,1,20
speaker_0-kaldi-words,1,picture_task_11,109.11,110.94,Dan blues putting the dinosaur.,1,22
speaker_0-kaldi-words,1,picture_task_12,114.85,117.52,We gave he's in the oil to the dinosaur.,1,24
speaker_0-kaldi-words,1,picture_task_13,120.87,122.61,The boys are laughing.,1,26
