tier_name,tier_idx,start,end,text
Prompt,1,3.355,63.122,picture_task_1
Prompt,1,63.122,70.63,picture_task_2
Prompt,1,70.63,75.449,picture_task_3
Prompt,1,75.449,83.906,picture_task_4
Prompt,1,83.906,87.561,picture_task_5
Prompt,1,87.561,91.516,picture_task_6
Prompt,1,91.517,96.014,picture_task_7
Prompt,1,96.014,99.877,picture_task_8
Prompt,1,99.878,102.917,picture_task_9
Prompt,1,102.917,108.225,picture_task_10
Prompt,1,108.225,113.14,picture_task_11
Prompt,1,113.14,119.621,picture_task_12
Prompt,1,119.621,124.22,picture_task_13
